======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-28 11:18:29
Log file: logs/simulation_20260228_111829.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 1.00e-04, dt (rescaled) = 1.0000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 1.7321e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7400.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 1000 GeV  →  3H/η = 7.22e-08
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11
Couplings: boson=1.09, fermion=1.09

Finding thermal VEV at T = 7400.0...
  V'(0) = 1.6066e-06
  V'(VEV) = 7.2925e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 1.6066e-06
  V'(1e0)   = 1.6066e+04
  V'(1e5)   = -9.9981e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 2.1249e+03 and 2.2355e+03
  Barrier top at: 2.1539e+03
  Escape point: 2.3693e+03
  V'(escape) = -8.3211e+06 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7400_dx_0.001_dtphys_0.0001_interval_10000_3D_hubble_eta_1000_gb_1.09_gf_1.09_rk2_fused_table/field_states
Figures will be saved to: data/set6/256x256x256_T0_7400_dx_0.001_dtphys_0.0001_interval_10000_3D_hubble_eta_1000_gb_1.09_gf_1.09_rk2_fused_table/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 50000, dt: 1.00e-01
Integrator: rk2_fused_table
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 1.2166e+03)
Overdamped mode: DISABLED (η = 1000)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 7.22e-08
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=50000.0, interval=50)
Step 0/50000 | t=0.00e+00 | T=7400.0 | a=1.000000 | H=2.41e-05 | 4.4 steps/s | 229.29 ms/step | ETA: 191.1 min
Step 10000/50000 | t=1.00e+00 | T=7399.8 | a=1.000024 | H=2.41e-05 | 12.7 steps/s | 78.51 ms/step | ETA: 52.3 min

*** phi threshold exceeded: max|phi|=50025.9 > 50000.0
*** Switching to dense snapshots: every 50 steps

Step 11650/50000 | t=1.17e+00 | T=7399.8 | a=1.000028 | H=2.41e-05 | 12.8 steps/s | 78.25 ms/step | ETA: 50.0 min
Step 11700/50000 | t=1.17e+00 | T=7399.8 | a=1.000028 | H=2.41e-05 | 12.7 steps/s | 78.45 ms/step | ETA: 50.1 min
Step 11750/50000 | t=1.18e+00 | T=7399.8 | a=1.000028 | H=2.41e-05 | 12.7 steps/s | 78.63 ms/step | ETA: 50.1 min
Step 11800/50000 | t=1.18e+00 | T=7399.8 | a=1.000028 | H=2.41e-05 | 12.7 steps/s | 78.83 ms/step | ETA: 50.2 min
Step 11850/50000 | t=1.19e+00 | T=7399.8 | a=1.000029 | H=2.41e-05 | 12.7 steps/s | 79.04 ms/step | ETA: 50.3 min
Step 11900/50000 | t=1.19e+00 | T=7399.8 | a=1.000029 | H=2.41e-05 | 12.6 steps/s | 79.30 ms/step | ETA: 50.4 min
Step 11950/50000 | t=1.20e+00 | T=7399.8 | a=1.000029 | H=2.41e-05 | 12.6 steps/s | 79.47 ms/step | ETA: 50.4 min
Step 12000/50000 | t=1.20e+00 | T=7399.8 | a=1.000029 | H=2.41e-05 | 12.6 steps/s | 79.63 ms/step | ETA: 50.4 min
Step 12050/50000 | t=1.21e+00 | T=7399.8 | a=1.000029 | H=2.41e-05 | 12.5 steps/s | 79.80 ms/step | ETA: 50.5 min
Step 12100/50000 | t=1.21e+00 | T=7399.8 | a=1.000029 | H=2.41e-05 | 12.5 steps/s | 80.15 ms/step | ETA: 50.6 min
Step 12150/50000 | t=1.22e+00 | T=7399.8 | a=1.000029 | H=2.41e-05 | 12.4 steps/s | 80.34 ms/step | ETA: 50.7 min
Step 12200/50000 | t=1.22e+00 | T=7399.8 | a=1.000029 | H=2.41e-05 | 12.4 steps/s | 80.70 ms/step | ETA: 50.8 min
Step 12250/50000 | t=1.23e+00 | T=7399.8 | a=1.000029 | H=2.41e-05 | 12.3 steps/s | 81.04 ms/step | ETA: 51.0 min
Step 12300/50000 | t=1.23e+00 | T=7399.8 | a=1.000030 | H=2.41e-05 | 12.3 steps/s | 81.19 ms/step | ETA: 51.0 min
Step 12350/50000 | t=1.24e+00 | T=7399.8 | a=1.000030 | H=2.41e-05 | 12.3 steps/s | 81.34 ms/step | ETA: 51.0 min
Step 12400/50000 | t=1.24e+00 | T=7399.8 | a=1.000030 | H=2.41e-05 | 12.3 steps/s | 81.43 ms/step | ETA: 51.0 min
