======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-28 01:14:38
Log file: logs/simulation_20260228_011438.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 1.00e-04, dt (rescaled) = 1.0000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 1.7321e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7385.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 10000 GeV  →  3H/η = 7.22e-09
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11
Couplings: boson=1.09, fermion=1.09

Finding thermal VEV at T = 7385.0...
  V'(0) = 1.1883e-06
  V'(VEV) = 7.2482e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 1.1883e-06
  V'(1e0)   = 1.1883e+04
  V'(1e5)   = -9.9982e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 1.8249e+03 and 1.9198e+03
  Barrier top at: 1.8614e+03
  Escape point: 2.0476e+03
  V'(escape) = -5.2920e+06 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7385_dx_0.001_dtphys_0.0001_interval_10000_3D_hubble_eta_10000_gb_1.09_gf_1.09_rk2_fused_table/field_states
Figures will be saved to: data/set6/256x256x256_T0_7385_dx_0.001_dtphys_0.0001_interval_10000_3D_hubble_eta_10000_gb_1.09_gf_1.09_rk2_fused_table/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 300000, dt: 1.00e-01
Integrator: rk2_fused_table
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 3.8432e+03)
Overdamped mode: DISABLED (η = 10000)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 7.22e-09
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=40000.0, interval=50)
Step 0/300000 | t=0.00e+00 | T=7385.0 | a=1.000000 | H=2.41e-05 | 4.3 steps/s | 232.65 ms/step | ETA: 1163.2 min
Step 10000/300000 | t=1.00e+00 | T=7384.8 | a=1.000024 | H=2.41e-05 | 13.1 steps/s | 76.11 ms/step | ETA: 367.9 min

*** phi threshold exceeded: max|phi|=40161.7 > 40000.0
*** Switching to dense snapshots: every 50 steps

Step 16550/300000 | t=1.66e+00 | T=7384.7 | a=1.000040 | H=2.41e-05 | 13.2 steps/s | 75.95 ms/step | ETA: 358.8 min
Step 16600/300000 | t=1.66e+00 | T=7384.7 | a=1.000040 | H=2.41e-05 | 13.1 steps/s | 76.07 ms/step | ETA: 359.3 min
Step 16650/300000 | t=1.67e+00 | T=7384.7 | a=1.000040 | H=2.41e-05 | 13.1 steps/s | 76.19 ms/step | ETA: 359.8 min
Step 16700/300000 | t=1.67e+00 | T=7384.7 | a=1.000040 | H=2.41e-05 | 13.1 steps/s | 76.32 ms/step | ETA: 360.4 min
Step 16750/300000 | t=1.68e+00 | T=7384.7 | a=1.000040 | H=2.41e-05 | 13.1 steps/s | 76.44 ms/step | ETA: 360.9 min
Step 16800/300000 | t=1.68e+00 | T=7384.7 | a=1.000040 | H=2.41e-05 | 13.1 steps/s | 76.57 ms/step | ETA: 361.4 min
Step 16850/300000 | t=1.69e+00 | T=7384.7 | a=1.000041 | H=2.41e-05 | 13.0 steps/s | 76.68 ms/step | ETA: 361.9 min
Step 16900/300000 | t=1.69e+00 | T=7384.7 | a=1.000041 | H=2.41e-05 | 13.0 steps/s | 76.79 ms/step | ETA: 362.3 min
Step 16950/300000 | t=1.70e+00 | T=7384.7 | a=1.000041 | H=2.41e-05 | 13.0 steps/s | 76.91 ms/step | ETA: 362.8 min
Step 17000/300000 | t=1.70e+00 | T=7384.7 | a=1.000041 | H=2.41e-05 | 13.0 steps/s | 77.14 ms/step | ETA: 363.9 min
Step 17050/300000 | t=1.71e+00 | T=7384.7 | a=1.000041 | H=2.41e-05 | 12.9 steps/s | 77.26 ms/step | ETA: 364.3 min
Step 17100/300000 | t=1.71e+00 | T=7384.7 | a=1.000041 | H=2.41e-05 | 12.9 steps/s | 77.37 ms/step | ETA: 364.8 min
Step 17150/300000 | t=1.72e+00 | T=7384.7 | a=1.000041 | H=2.41e-05 | 12.9 steps/s | 77.48 ms/step | ETA: 365.3 min
Step 17200/300000 | t=1.72e+00 | T=7384.7 | a=1.000041 | H=2.41e-05 | 12.9 steps/s | 77.59 ms/step | ETA: 365.7 min
Step 17250/300000 | t=1.73e+00 | T=7384.7 | a=1.000042 | H=2.41e-05 | 12.9 steps/s | 77.70 ms/step | ETA: 366.2 min
Step 17300/300000 | t=1.73e+00 | T=7384.7 | a=1.000042 | H=2.41e-05 | 12.9 steps/s | 77.82 ms/step | ETA: 366.7 min
