======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-27 07:17:52
Log file: logs/simulation_20260227_071752.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 2.50e-04, dt (rescaled) = 2.5000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 4.3301e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7410.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 2000 GeV  →  3H/η = 3.61e-08
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11
Couplings: boson=1.09, fermion=1.09

Finding thermal VEV at T = 7410.0...
  V'(0) = 1.8860e-06
  V'(VEV) = 7.3221e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 1.8860e-06
  V'(1e0)   = 1.8860e+04
  V'(1e5)   = -9.9981e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 2.2355e+03 and 2.3518e+03
  Barrier top at: 2.3270e+03
  Escape point: 2.5597e+03
  V'(escape) = -1.0575e+07 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7410_dx_0.001_dtphys_0.00025_interval_4000_3D_hubble_eta_2000_gb_1.09_gf_1.09_rk2_fused_table/field_states
Figures will be saved to: data/set6/256x256x256_T0_7410_dx_0.001_dtphys_0.00025_interval_4000_3D_hubble_eta_2000_gb_1.09_gf_1.09_rk2_fused_table/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 500000, dt: 2.50e-01
Integrator: rk2_fused_table
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 2.7221e+03)
Overdamped mode: DISABLED (η = 2000)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 3.61e-08
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=40000.0, interval=10)
Step 0/500000 | t=0.00e+00 | T=7410.0 | a=1.000000 | H=2.41e-05 | 4.4 steps/s | 228.39 ms/step | ETA: 1903.3 min
Step 4000/500000 | t=1.00e+00 | T=7409.8 | a=1.000024 | H=2.41e-05 | 13.2 steps/s | 75.78 ms/step | ETA: 626.5 min
Step 8000/500000 | t=2.00e+00 | T=7409.6 | a=1.000048 | H=2.41e-05 | 13.3 steps/s | 75.03 ms/step | ETA: 615.2 min
Step 12000/500000 | t=3.00e+00 | T=7409.5 | a=1.000072 | H=2.41e-05 | 13.4 steps/s | 74.84 ms/step | ETA: 608.7 min
Step 16000/500000 | t=4.00e+00 | T=7409.3 | a=1.000096 | H=2.41e-05 | 13.4 steps/s | 74.70 ms/step | ETA: 602.6 min
Step 20000/500000 | t=5.00e+00 | T=7409.1 | a=1.000120 | H=2.41e-05 | 13.4 steps/s | 74.79 ms/step | ETA: 598.3 min
Step 24000/500000 | t=6.00e+00 | T=7408.9 | a=1.000144 | H=2.41e-05 | 13.4 steps/s | 74.80 ms/step | ETA: 593.4 min
Step 28000/500000 | t=7.00e+00 | T=7408.8 | a=1.000168 | H=2.41e-05 | 13.4 steps/s | 74.83 ms/step | ETA: 588.7 min
Step 32000/500000 | t=8.00e+00 | T=7408.6 | a=1.000192 | H=2.41e-05 | 13.4 steps/s | 74.85 ms/step | ETA: 583.9 min
Step 36000/500000 | t=9.00e+00 | T=7408.4 | a=1.000217 | H=2.41e-05 | 13.4 steps/s | 74.90 ms/step | ETA: 579.2 min
Step 40000/500000 | t=1.00e+01 | T=7408.2 | a=1.000241 | H=2.41e-05 | 13.3 steps/s | 74.93 ms/step | ETA: 574.5 min
Step 44000/500000 | t=1.10e+01 | T=7408.0 | a=1.000265 | H=2.41e-05 | 13.3 steps/s | 75.01 ms/step | ETA: 570.1 min
Step 48000/500000 | t=1.20e+01 | T=7407.9 | a=1.000289 | H=2.41e-05 | 13.3 steps/s | 75.02 ms/step | ETA: 565.1 min
Step 52000/500000 | t=1.30e+01 | T=7407.7 | a=1.000313 | H=2.41e-05 | 13.3 steps/s | 75.04 ms/step | ETA: 560.3 min
Step 56000/500000 | t=1.40e+01 | T=7407.5 | a=1.000337 | H=2.41e-05 | 13.3 steps/s | 75.06 ms/step | ETA: 555.4 min
Step 60000/500000 | t=1.50e+01 | T=7407.3 | a=1.000361 | H=2.41e-05 | 7.1 steps/s | 141.74 ms/step | ETA: 1039.4 min
Step 64000/500000 | t=1.60e+01 | T=7407.1 | a=1.000385 | H=2.41e-05 | 7.3 steps/s | 137.60 ms/step | ETA: 999.9 min
Step 68000/500000 | t=1.70e+01 | T=7407.0 | a=1.000409 | H=2.41e-05 | 7.5 steps/s | 134.13 ms/step | ETA: 965.8 min
Step 72000/500000 | t=1.80e+01 | T=7406.8 | a=1.000433 | H=2.41e-05 | 7.6 steps/s | 131.18 ms/step | ETA: 935.7 min
Step 76000/500000 | t=1.90e+01 | T=7406.6 | a=1.000457 | H=2.41e-05 | 7.8 steps/s | 128.77 ms/step | ETA: 910.0 min
Step 80000/500000 | t=2.00e+01 | T=7406.4 | a=1.000481 | H=2.41e-05 | 7.9 steps/s | 126.32 ms/step | ETA: 884.3 min
Step 84000/500000 | t=2.10e+01 | T=7406.3 | a=1.000505 | H=2.41e-05 | 8.1 steps/s | 124.13 ms/step | ETA: 860.6 min
Step 88000/500000 | t=2.20e+01 | T=7406.1 | a=1.000529 | H=2.41e-05 | 8.2 steps/s | 122.27 ms/step | ETA: 839.6 min
