======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-26 07:43:53
Log file: logs/simulation_20260226_074353.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 1.00e-04, dt (rescaled) = 1.0000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 1.7321e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7370.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 7000 GeV  →  3H/η = 1.03e-08
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11
Couplings: boson=1.09, fermion=1.09

Finding thermal VEV at T = 7370.0...
  V'(0) = 7.7081e-07
  V'(VEV) = 7.2041e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 7.7081e-07
  V'(1e0)   = 7.7081e+03
  V'(1e5)   = -9.9982e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 1.4897e+03 and 1.5672e+03
  Barrier top at: 1.5078e+03
  Escape point: 1.6586e+03
  V'(escape) = -2.7585e+06 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7370_dx_0.001_dtphys_0.0001_interval_5000_3D_hubble_eta_7000_gb_1.09_gf_1.09_rk2_fused_table/field_states
Figures will be saved to: data/set6/256x256x256_T0_7370_dx_0.001_dtphys_0.0001_interval_5000_3D_hubble_eta_7000_gb_1.09_gf_1.09_rk2_fused_table/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 10000000000, dt: 1.00e-01
Integrator: rk2_fused_table
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 3.2122e+03)
Overdamped mode: DISABLED (η = 7000)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 1.03e-08
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=10000.0, interval=100)
Step 0/10000000000 | t=0.00e+00 | T=7370.0 | a=1.000000 | H=2.41e-05 | 1.1 steps/s | 912.31 ms/step | ETA: 152051687.2 min
Step 5000/10000000000 | t=5.00e-01 | T=7369.9 | a=1.000012 | H=2.41e-05 | 11.0 steps/s | 91.11 ms/step | ETA: 15185290.7 min
Step 10000/10000000000 | t=1.00e+00 | T=7369.8 | a=1.000024 | H=2.41e-05 | 12.1 steps/s | 82.83 ms/step | ETA: 13804421.5 min

*** phi threshold exceeded: max|phi|=10129.5 > 10000.0
*** Switching to dense snapshots: every 100 steps

Step 10700/10000000000 | t=1.07e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.1 steps/s | 82.50 ms/step | ETA: 13749211.0 min
Step 10800/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.1 steps/s | 82.59 ms/step | ETA: 13765125.1 min
Step 10900/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.1 steps/s | 82.69 ms/step | ETA: 13781099.9 min
Step 11000/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.1 steps/s | 82.78 ms/step | ETA: 13797215.4 min
Step 11100/10000000000 | t=1.11e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.1 steps/s | 82.92 ms/step | ETA: 13819518.4 min
Step 11200/10000000000 | t=1.12e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.0 steps/s | 83.01 ms/step | ETA: 13835686.4 min
Step 11300/10000000000 | t=1.13e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.0 steps/s | 83.10 ms/step | ETA: 13850044.3 min
Step 11400/10000000000 | t=1.14e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.0 steps/s | 83.20 ms/step | ETA: 13867042.6 min
Step 11500/10000000000 | t=1.15e+00 | T=7369.8 | a=1.000028 | H=2.41e-05 | 12.0 steps/s | 83.46 ms/step | ETA: 13909666.2 min
Step 11600/10000000000 | t=1.16e+00 | T=7369.8 | a=1.000028 | H=2.41e-05 | 12.0 steps/s | 83.54 ms/step | ETA: 13923685.6 min
Step 11700/10000000000 | t=1.17e+00 | T=7369.8 | a=1.000028 | H=2.41e-05 | 12.0 steps/s | 83.64 ms/step | ETA: 13940730.6 min
Step 11800/10000000000 | t=1.18e+00 | T=7369.8 | a=1.000028 | H=2.41e-05 | 11.9 steps/s | 83.73 ms/step | ETA: 13955562.1 min
Step 11900/10000000000 | t=1.19e+00 | T=7369.8 | a=1.000029 | H=2.41e-05 | 11.9 steps/s | 83.81 ms/step | ETA: 13967647.4 min
Step 12000/10000000000 | t=1.20e+00 | T=7369.8 | a=1.000029 | H=2.41e-05 | 11.9 steps/s | 83.88 ms/step | ETA: 13979474.5 min
