======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-26 12:41:51
Log file: logs/simulation_20260226_124151.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 2.50e-04, dt (rescaled) = 2.5000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 4.3301e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7403.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 5000 GeV  →  3H/η = 1.44e-08
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11
Couplings: boson=1.09, fermion=1.09

Finding thermal VEV at T = 7403.0...
  V'(0) = 1.6904e-06
  V'(VEV) = 7.3013e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 1.6904e-06
  V'(1e0)   = 1.6904e+04
  V'(1e5)   = -9.9981e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 2.1249e+03 and 2.2355e+03
  Barrier top at: 2.2074e+03
  Escape point: 2.4281e+03
  V'(escape) = -8.9789e+06 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7403_dx_0.001_dtphys_0.00025_interval_4000_3D_hubble_eta_5000_gb_1.09_gf_1.09_rk2_fused_table/field_states
Figures will be saved to: data/set6/256x256x256_T0_7403_dx_0.001_dtphys_0.00025_interval_4000_3D_hubble_eta_5000_gb_1.09_gf_1.09_rk2_fused_table/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 10000000000, dt: 2.50e-01
Integrator: rk2_fused_table
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 4.3020e+03)
Overdamped mode: DISABLED (η = 5000)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 1.44e-08
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=40000.0, interval=100)
Step 0/10000000000 | t=0.00e+00 | T=7403.0 | a=1.000000 | H=2.41e-05 | 4.4 steps/s | 229.03 ms/step | ETA: 38171529.8 min
Step 4000/10000000000 | t=1.00e+00 | T=7402.8 | a=1.000024 | H=2.41e-05 | 12.4 steps/s | 80.82 ms/step | ETA: 13469903.0 min
Step 8000/10000000000 | t=2.00e+00 | T=7402.6 | a=1.000048 | H=2.41e-05 | 12.8 steps/s | 78.36 ms/step | ETA: 13059733.8 min
Step 12000/10000000000 | t=3.00e+00 | T=7402.5 | a=1.000072 | H=2.41e-05 | 12.9 steps/s | 77.66 ms/step | ETA: 12943917.0 min
Step 16000/10000000000 | t=4.00e+00 | T=7402.3 | a=1.000096 | H=2.41e-05 | 12.9 steps/s | 77.28 ms/step | ETA: 12880665.8 min
Step 20000/10000000000 | t=5.00e+00 | T=7402.1 | a=1.000120 | H=2.41e-05 | 13.0 steps/s | 76.87 ms/step | ETA: 12810891.9 min
Step 24000/10000000000 | t=6.00e+00 | T=7401.9 | a=1.000144 | H=2.41e-05 | 13.0 steps/s | 76.63 ms/step | ETA: 12771662.3 min

*** phi threshold exceeded: max|phi|=40210.3 > 40000.0
*** Switching to dense snapshots: every 100 steps

Step 26300/10000000000 | t=6.58e+00 | T=7401.8 | a=1.000158 | H=2.41e-05 | 13.1 steps/s | 76.57 ms/step | ETA: 12761512.0 min
Step 26400/10000000000 | t=6.60e+00 | T=7401.8 | a=1.000159 | H=2.41e-05 | 13.0 steps/s | 76.69 ms/step | ETA: 12782074.6 min
Step 26500/10000000000 | t=6.62e+00 | T=7401.8 | a=1.000159 | H=2.41e-05 | 13.0 steps/s | 76.83 ms/step | ETA: 12805557.4 min
Step 26600/10000000000 | t=6.65e+00 | T=7401.8 | a=1.000160 | H=2.41e-05 | 13.0 steps/s | 77.01 ms/step | ETA: 12834328.8 min
Step 26700/10000000000 | t=6.67e+00 | T=7401.8 | a=1.000161 | H=2.41e-05 | 13.0 steps/s | 77.18 ms/step | ETA: 12863092.0 min
Step 26800/10000000000 | t=6.70e+00 | T=7401.8 | a=1.000161 | H=2.41e-05 | 12.9 steps/s | 77.27 ms/step | ETA: 12877535.8 min
Step 26900/10000000000 | t=6.72e+00 | T=7401.8 | a=1.000162 | H=2.41e-05 | 12.9 steps/s | 77.34 ms/step | ETA: 12889845.5 min
Step 27000/10000000000 | t=6.75e+00 | T=7401.8 | a=1.000162 | H=2.41e-05 | 12.9 steps/s | 77.52 ms/step | ETA: 12919970.8 min
Step 27100/10000000000 | t=6.78e+00 | T=7401.8 | a=1.000163 | H=2.41e-05 | 12.9 steps/s | 77.56 ms/step | ETA: 12926613.1 min
Step 27200/10000000000 | t=6.80e+00 | T=7401.8 | a=1.000164 | H=2.41e-05 | 12.9 steps/s | 77.59 ms/step | ETA: 12931547.6 min
